Name	Reel	Media Start	Media End	Tracks	Comment 1	Log Note
TEXT	Tape_001	01:00:00:00	01:00:03:21	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_37_MOV	WW10_002	01:00:03:21	01:00:07:09	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_38_MOV	WW10_002	01:00:07:09	01:00:11:17	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_40_MOV	WW10_002	01:00:11:17	01:00:15:07	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_43_MOV	WW10_002	01:00:15:07	01:00:24:02	1V,4A		
04_ARNULF_RAINER_MUSEUM_BADEN_V05_MOV	Tape_001	01:00:24:02	01:00:27:05	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_04_MOV	WW10_002	01:00:27:05	01:00:29:22	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_50_MOV	WW10_002	01:00:29:22	01:00:38:06	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_45_MOV	WW10_002	01:00:38:06	01:00:40:23	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_55_MOV	WW10_002	01:00:40:23	01:00:48:02	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_27_MOV	WW10_002	01:00:48:02	01:00:51:00	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_20_MOV	Tape_001	01:00:51:00	01:00:54:00	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_24_MOV	WW10_002	01:00:54:00	01:00:56:23	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_AUSSENAUFNAHMEN_26_MOV	WW10_002	01:00:56:23	01:01:00:18	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_03_MOV	WW10_002	01:01:00:18	01:01:03:19	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_05_MOV	WW10_002	01:01:03:19	01:01:06:18	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_50_MOV	VTZT10_001	01:01:06:18	01:01:10:18	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_58_MOV	VTZT10_001	01:01:10:18	01:01:13:01	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_07_MOV	WW10_002	01:01:13:01	01:01:15:17	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_63_MOV	VTZT10_001	01:01:15:17	01:01:19:00	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_65_MOV	VTZT10_001	01:01:19:00	01:01:21:13	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_62_MOV	VTZT10_001	01:01:21:13	01:01:24:07	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_23_MOV	VTZT10_001	01:01:24:07	01:01:34:06	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_27_MOV	VTZT10_001	01:01:34:06	01:01:37:09	1V,4A		
BADEN_ARNULF_RAINER_MUSEUM_INNENAUFNAHMEN_77_MOV	VTZT10_001	01:01:37:09	01:01:42:11	1V,4A		
