Name	Reel	Media Start	Media End	Tracks	Comment 1	Log Note
njk08	bregenz_seebuehne_tosca_agenten_durch_eisentor	03:19:28:19	03:19:37:05	1V,4A	2	
njk08	bregenz_seebuehne_tosca_agenten_schleichen_sich_an	03:07:30:03	03:07:41:11	1V,4A	2	
njk08	bregenz_seebuehne_tosca_agent_gaberlt_euroball	03:18:22:22	03:18:33:21	1V,4A	3	
njk08	bregenz_seebuehne_tosca_aufbau_buehne_schwenk	03:06:45:12	03:06:53:05	1V,4A	3	
njk08	bregenz_seebuehne_tosca_aufbau_lensflare	03:00:56:19	03:01:06:19	1V,4A	3	
njk08	bregenz_seebuehne_tosca_aufbau_lensflare_durch_bilder_01	03:01:54:14	03:02:03:14	1V,4A	2	
njk08	bregenz_seebuehne_tosca_aufbau_lensflare_durch_bilder_02	03:03:58:04	03:04:09:07	1V,4A	1	
njk08	bregenz_seebuehne_tosca_aufbau_lensflare_durch_bilder_03	03:06:20:07	03:06:28:08	1V,4A	2	
njk08	bregenz_seebuehne_tosca_besucher_mit_Kameras	03:38:20:20	03:38:25:24	1V,4A	4	
njk08	bregenz_seebuehne_tosca_buehne_blitzgewitter_01	03:37:34:08	03:38:10:22	1V,4A	3	
njk08	bregenz_seebuehne_tosca_buehne_blitzgewitter_02	03:38:45:24	03:39:00:02	1V,4A	4	
njk08	bregenz_seebuehne_tosca_buehne_licht_aus	03:40:25:13	03:40:49:11	1V,4A	3	
njk08	bregenz_seebuehne_tosca_frau_mit_kamera_01	03:25:45:13	03:25:51:13	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikumsansicht_01	03:20:09:12	03:20:20:19	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikumsansicht_02	03:19:45:00	03:19:51:01	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikum_bursche_nahaufnahme_01	03:32:10:02	03:32:23:10	1V,4A	4	
njk08	bregenz_seebuehne_tosca_publikum_bursche_nahaufnahme_02	03:33:17:14	03:33:31:23	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikum_sitzplaetze_mit_UTLeinwand	03:25:08:13	03:25:28:24	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikum_stehtribuene	03:23:10:21	03:23:26:04	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikum_stehtribuene_02	03:24:34:03	03:24:44:13	1V,4A	2	
njk08	bregenz_seebuehne_tosca_publikum_stehtribuene_defokus_fokus_01	03:23:40:02	03:23:47:23	1V,4A	3	
njk08	bregenz_seebuehne_tosca_publikum_stehtribuene_defokus_fokus_02	03:24:07:18	03:24:22:05	1V,4A	3	
njk08	bregenz_seebuehne_tosca_sesseln_fokus_defokus	03:05:47:24	03:05:57:15	1V,4A	2	
njk08	bregenz_seebuehne_tosca_UTLeinwand	03:31:50:08	03:32:04:00	1V,4A	4	
njk08	bregenz_seebuehne_tosca_UTLeinwand_mit_Dirigent_Orchester_01	03:35:35:01	03:36:06:19	1V,4A	2	
njk08	bregenz_seebuehne_tosca_UTLeinwand_mit_Dirigent_Orchester_02	03:36:15:19	03:36:35:11	1V,4A	2	
